actor_name,dob,age
Harrison Ford,1/1/1986,28
Ryan Reynolds,8/28/1984,34
Bruce Willis,8/10/1992,33
Leonardo DiCaprio,12/15/1990,61
Johnny Depp,5/2/1984,53
Tom Cruise,6/11/1989,36
Brad Pitt,12/31/1989,29
Robert Downey Jr.,11/12/1983,44
Hugh Jackman,4/12/1980,41
Chrisitan Bale,12/26/1983,30
Will Smith,1/25/1991,28
Bradley Cooper,11/17/1986,29
Morgan Freeman,2/13/1985,54
Matt Damon,10/20/1999,52
Amy Adams,11/5/1980,37
Halle Berry,8/31/1997,45
Emma Stone,11/20/1987,39
Scarlett Johansson,5/20/1995,35
Natalie Portman,6/26/1989,42
Sandra Bullock,4/11/1986,46
Nicole Kidman,7/3/1998,32
Jennifer Aniston,9/3/1990,27
Emma Watson,7/9/1993,41
Megan Fox,4/25/1991,28
Julia Roberts,9/5/1996,33
Tiger Shroff,7/13/2000,36
Govinda,5/1/1992,39
Jimmy Shergill,9/12/1983,44
Shah Rukh Khan,10/13/1987,31
Akshay Kumar,1/10/2000,29
Salman Khan,12/6/1996,36
Hrithik Roshan,12/8/1992,46
Aamir Khan,1/16/1994,45
Ranbir Kapoor,6/22/1991,41
Ranveer Singh,5/28/1994,33
Shahid Kapoor,6/16/1994,37
Ajay Devgn,10/25/1990,30
Rishi Kapoor,12/25/1990,38
Sanjay Dutt,7/29/1999,39
Neha Dhupia,5/18/1992,47
Mallika Sherawat,12/22/1983,32
Kajol,8/13/1983,31
Kareena Kapoor,5/1/1993,33
Aishwarya Rai,7/29/1987,31
Tapsee Pannu,8/1/1997,34
Anushka Sharma,3/7/1983,29
Genelia D'Souza,4/8/2000,30
Deepika Padukone,11/3/1996,40
Alia Bhatt,1/15/1987,45
Vaani Kapoor,6/13/1999,49
